"ean";"parent_id"
"9940111109005";"5353013"
"8057004627858";"562480121"
"5045456427686";"5391001"
"8054687462127";"5313420"
"8051273584638";"5310316"
"739655713873";"575707036"
"8718334830492";"551906958"
"8059132372716";"567618870"
"9940081108989";"522411"
"8058328379485";"561159085"
"8029930423279";"544829272"
"9286316041";"5318112"
"8055353319936";"5375096"
"8718793312423";"51333"
"8059132528953";"571956081"
"4260422060679";"555824823"
"8433808711342";"51533"
"3102279875017";"5394039"
"3474230008841";"10103"
"9940142109497";"5384114"
"3143167297535";"571735011"
"6119000668487";"5310265"
"8717457485176";"546913963"
"3102279311942";"52634"
"887278285328";"541475983"
"8058572261062";"564009964"
"9940081108922";"522405"
"7325540914550";"563509939"
"9940243109024";"5318528"
"3607020911780";"555036230"
"8434538194320";"570170595"
"8058321401909";"568244055"
"1702809087044";"561453633"
"00636119";"5384065"
"8059132351445";"561436853"
"8030035234127";"538859"
"9285462022";"5318122"
"9940173108974";"5311512"
"9920064574921";"48001"
"8055350048747";"50048"
"9940066109862";"520187"
"8059132059150";"547935659"
"8718334743815";"546039372"
"3102279434375";"559836589"
"8059132340593";"567890543"
"3102278855287";"00155A"
"8053621910342";"5313125"
"8057015484716";"546752249"
"9940204108905";"5314601"
"3143166561491";"545705309"
"8434538411519";"573045783"
"550033967";"558644912"
"3614711968930";"558934040"
"8719204307618";"552554953"
"3143166535294";"570055788"
"8717457433245";"52784"
"3613331308089";"557875237"
"8032631946428";"555928905"
"8032871472886";"550586306"
"2015100051641";"53109083"
"540003933";"541538819"
"540014484";"547286170"
"8000002292566";"549617512"
"8434341092264";"549109220"
"3608270998101";"574955913"
"8071671411";"544698393"
"540010764";"544895891"
"9940215109235";"5315753"
"5055901326761";"557123428"
"3114439030433";"566746879"
"8056305560925";"543577195"
"4260422061089";"5315502"
"8032871118135";"53104012"
"8032631807194";"551811836"
"8058338201714";"534042"
"8059132124117";"549320694"
"4043874011488";"549824085"
"3143166200765";"567907705"
"8055353636767";"5375052"
"4260422062147";"5315533"
"550020421";"556904492"
"5052505132927";"540383148"
"8071106471";"549601964"
"4004758755355";"562291766"
"8029930791965";"567694667"
"0000000504672";"5311920"
"8075489952";"556238695"
"5052505928186";"565683730"
"8434341736724";"557709152"
"7613273818758";"545340511"
"3601455944122";"546749650"
"8059132521848";"579973706"
"3143166520900";"578271808"
"2500000264986";"558441219"
"3143165811399";"547774419"
"2222231694904";"555287354"
"4058025173533";"562300237"
"3143165033340";"533932"
"8059132561882";"576852955"
"8030035471492";"559376427"
"540013230";"546366693"
"560054346";"566769119"
"889642540057";"557320491"
"8891163858940";"52280"
"8059717369940";"547382269"
"4058032569046";"564531831"
"5054411816038";"557262859"
"8032871397257";"549342388"
"3143166495895";"579712096"
"9009611972943";"544870727"
"0002257U";"5310006"
"5415320112503";"5316622"
"8072777094";"540926289"
"5555555804269";"539532"
"8057015487830";"557015577"
"8069263179";"548071329"
"9940066108928";"520906"
"8075485345";"559298863"
"3143167290840";"573846045"
"8059132263847";"552414966"
"9991234506684";"523520"
"8719204394816";"559500641"
"3143165355954";"533806"
"9940150108922";"539204"
"4056746028811";"52262"
"8059132541006";"570749420"
"8078055783";"568450788"
"9940235109004";"5317710"
"5400516883350";"553099915"
"5712030692661";"572189710"
"887344121369";"563175373"
"5057472169341";"561592298"
"8078054744";"568096274"
"5045550431879";"565083281"
